0,1,2,3,4,5,6
0.22122,0.09239,0.05176,1171.27809,1315.39215,591.96887,-8.72255
0.20746,0.08681,0.04102,837.01997,1294.89521,1475.60889,-4.60357
0.14484,0.05759,0.02148,825.05884,1399.93388,1366.46448,-3.06379
0.13425,0.04381,0.02246,835.98118,1421.33593,1028.72363,-3.76334
0.13425,0.04218,0.02539,859.58058,1507.96656,1083.61804,-3.061
0.08585,0.03075,0.02637,937.08679,1597.85554,657.68427,-0.88037
0.07242,0.02787,0.0332,1064.15973,1692.76352,348.82922,-0.94909
0.06546,0.02173,0.0332,1265.70825,1855.7439,175.69409,1.30694
0.02927,0.01391,0.04883,1643.35764,2002.28593,99.01494,-4.46391
0.02551,0.01322,0.05762,1738.21348,2044.2363,49.37289,-2.28182
0.02551,0.01284,0.03613,1073.74872,1705.62115,518.08813,0.02144
0.02304,0.0097,0.02051,940.18749,1659.57608,1696.06177,-1.2697
0.03085,0.00864,0.02051,1061.70205,1780.12716,654.70551,-1.69031
0.31439,0.06868,0.05762,1983.19001,2271.9254,38.83942,0.54031
0.37631,0.147,0.07031,1587.66272,2017.77653,56.3909,-4.91357
0.42142,0.18633,0.04102,1458.60355,1866.04209,175.36945,-6.14062
0.42142,0.16778,0.04004,1707.33174,1859.79877,62.55991,-7.46983
0.3129,0.13035,0.05957,1766.06326,1855.0341,34.52449,-5.98749
0.23276,0.1017,0.06836,1694.45759,1712.38693,38.43077,-2.24416
0.19614,0.09845,0.05762,1637.24123,1658.87062,108.19489,-6.58943
0.19614,0.09844,0.03711,1400.70481,1677.9676,324.52493,-8.67066
0.18924,0.07409,0.03223,1135.40075,1616.14368,879.8598,-6.95138
0.13843,0.06266,0.04199,1196.3046,1678.56034,439.00415,-3.8932
0.30872,0.07713,0.04883,1205.45086,1839.5834,373.05093,-3.74002
0.56235,0.13846,0.05566,1261.84744,1728.27928,368.32782,-4.69607
0.56235,0.18581,0.06934,1675.94848,1979.65707,77.32553,-7.80858
0.5582,0.18342,0.0791,1510.76354,1845.60107,161.5596,-4.85016
0.37305,0.16435,0.05957,1748.32587,2037.79855,88.83115,-4.79114
0.37305,0.15114,0.04395,1523.50407,1953.60623,94.46979,-2.56368
0.3121,0.14119,0.05176,1395.21161,1812.28892,186.96611,-6.24315
0.33722,0.1344,0.05469,1395.14294,1826.68618,199.64944,-4.27451
0.33722,0.1275,0.05469,1443.20102,1922.0094,157.04044,-7.25804
0.32324,0.12594,0.06152,1241.35271,1598.95144,430.7067,-6.10988
0.27524,0.1245,0.06152,1232.13609,1624.71152,344.34372,-5.62893
0.27524,0.11211,0.06934,1558.71446,1763.4726,138.14056,-7.46686
0.23398,0.09257,0.0752,1520.69296,1555.7877,284.3338,-4.18241
0.17862,0.08199,0.05859,1413.82886,1610.13431,145.63316,-2.28501
0.12085,0.07532,0.05078,1443.65098,1705.07949,116.76915,-6.6053
0.12085,0.07036,0.04492,1259.70803,1587.82357,287.55591,-6.28393
0.13159,0.07811,0.04688,1369.11835,1596.08198,297.34344,-2.51494
0.134,0.08594,0.0498,1459.0243,1732.76657,169.41966,-5.28906
0.15207,0.09323,0.05664,1600.94225,1913.55208,95.2769,-5.39765
0.1788,0.09649,0.07715,1906.3977,1973.78378,59.93938,-6.75702
0.26947,0.11106,0.08984,1837.80771,1827.56519,90.63807,-5.42997
